"TIME","GEO","ANIMALS","UNIT","Value","Flag and Footnotes"
"1989","France","Live horses, asses, mules and hinnies","Thousand heads (animals)","332.00",""
"1989","France","Live horses","Thousand heads (animals)","319.00",""
"1989","France","Live asses, mules and hinnies","Thousand heads (animals)","13.00",""
"1989","Croatia","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Croatia","Live horses","Thousand heads (animals)",":",""
"1989","Croatia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Italy","Live horses, asses, mules and hinnies","Thousand heads (animals)","348.24",""
"1989","Italy","Live horses","Thousand heads (animals)","220.20",""
"1989","Italy","Live asses, mules and hinnies","Thousand heads (animals)","128.04",""
"1989","Latvia","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Latvia","Live horses","Thousand heads (animals)",":",""
"1989","Latvia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Lithuania","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Lithuania","Live horses","Thousand heads (animals)",":",""
"1989","Lithuania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Luxembourg","Live horses, asses, mules and hinnies","Thousand heads (animals)","2.65",""
"1989","Luxembourg","Live horses","Thousand heads (animals)","2.65",""
"1989","Luxembourg","Live asses, mules and hinnies","Thousand heads (animals)","0.00",""
"1989","Hungary","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Hungary","Live horses","Thousand heads (animals)",":",""
"1989","Hungary","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Netherlands","Live horses, asses, mules and hinnies","Thousand heads (animals)","66.71",""
"1989","Netherlands","Live horses","Thousand heads (animals)","66.71",""
"1989","Netherlands","Live asses, mules and hinnies","Thousand heads (animals)","0.00",""
"1989","Poland","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Poland","Live horses","Thousand heads (animals)",":",""
"1989","Poland","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Portugal","Live horses, asses, mules and hinnies","Thousand heads (animals)","145.00",""
"1989","Portugal","Live horses","Thousand heads (animals)","21.00",""
"1989","Portugal","Live asses, mules and hinnies","Thousand heads (animals)","124.00",""
"1989","Romania","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Romania","Live horses","Thousand heads (animals)",":",""
"1989","Romania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Slovenia","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Slovenia","Live horses","Thousand heads (animals)",":",""
"1989","Slovenia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Slovakia","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Slovakia","Live horses","Thousand heads (animals)",":",""
"1989","Slovakia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","United Kingdom","Live horses, asses, mules and hinnies","Thousand heads (animals)","145.00",""
"1989","United Kingdom","Live horses","Thousand heads (animals)","145.00",""
"1989","United Kingdom","Live asses, mules and hinnies","Thousand heads (animals)","0.00",""
"1989","North Macedonia","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","North Macedonia","Live horses","Thousand heads (animals)",":",""
"1989","North Macedonia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Albania","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Albania","Live horses","Thousand heads (animals)",":",""
"1989","Albania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
