animals,geo,time,tablename
Ewes and ewe-lambs put to the ram,North Macedonia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Poland,[2012],apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Portugal,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Romania,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Serbia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Slovakia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Spain,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Sweden,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Turkey,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,United Kingdom,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lssheep
Live sheep,Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Live sheep,Austria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Live sheep,Belgium,"[2012, 2013, 2015, 2016, 2019]",apro_mt_lssheep
Live sheep,Bosnia and Herzegovina,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lssheep
Live sheep,Bulgaria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Live sheep,Croatia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Live sheep,Cyprus,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lssheep
Live sheep,Czechia,"[2015, 2019]",apro_mt_lssheep
Live sheep,Denmark,"[2015, 2019]",apro_mt_lssheep
Live sheep,Estonia,"[2015, 2019]",apro_mt_lssheep
Live sheep,European Union - 15 countries (1995-2004),"[2015, 2019]",apro_mt_lssheep
Live sheep,European Union - 25 countries (2004-2006),"[2015, 2019]",apro_mt_lssheep
Live sheep,European Union - 27 countries (2007-2013),"[2015, 2019]",apro_mt_lssheep
Live sheep,European Union - 27 countries (from 2020),"[2012, 2013, 2014, 2015, 2016, 2017, 2019]",apro_mt_lssheep
Live sheep,European Union - 28 countries (2013-2020),"[2015, 2019]",apro_mt_lssheep
Live sheep,Finland,"[2015, 2019]",apro_mt_lssheep
Live sheep,France,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Live sheep,Germany (until 1990 former territory of the FRG),"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Live sheep,Greece,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
