"TIME","GEO","MONTH","ANIMALS","UNIT","Value","Flag and Footnotes"
"2012","Latvia","December","Other sheep","Thousand heads (animals)","33.26",""
"2012","Lithuania","December","Live sheep","Thousand heads (animals)","82.80",""
"2012","Lithuania","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","42.00",""
"2012","Lithuania","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","Lithuania","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","Lithuania","December","Other sheep","Thousand heads (animals)","40.80",""
"2012","Luxembourg","December","Live sheep","Thousand heads (animals)",":",""
"2012","Luxembourg","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Luxembourg","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Luxembourg","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Luxembourg","December","Other sheep","Thousand heads (animals)",":",""
"2012","Hungary","December","Live sheep","Thousand heads (animals)","1,185.00",""
"2012","Hungary","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","865.00",""
"2012","Hungary","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","22.00",""
"2012","Hungary","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","842.00",""
"2012","Hungary","December","Other sheep","Thousand heads (animals)","320.00",""
"2012","Malta","December","Live sheep","Thousand heads (animals)","11.70",""
"2012","Malta","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","10.46",""
"2012","Malta","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","10.46",""
"2012","Malta","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","Malta","December","Other sheep","Thousand heads (animals)","1.24",""
"2012","Netherlands","December","Live sheep","Thousand heads (animals)","1,093.00",""
"2012","Netherlands","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","570.00",""
"2012","Netherlands","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Netherlands","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Netherlands","December","Other sheep","Thousand heads (animals)","522.00",""
"2012","Austria","December","Live sheep","Thousand heads (animals)","364.65",""
"2012","Austria","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","220.59",""
"2012","Austria","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Austria","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Austria","December","Other sheep","Thousand heads (animals)","144.06",""
"2012","Poland","December","Live sheep","Thousand heads (animals)","218.51",""
"2012","Poland","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","134.71",""
"2012","Poland","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","32.98",""
"2012","Poland","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","101.73",""
"2012","Poland","December","Other sheep","Thousand heads (animals)","83.79",""
"2012","Portugal","December","Live sheep","Thousand heads (animals)","2,091.70",""
"2012","Portugal","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,674.92",""
"2012","Portugal","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","346.87",""
"2012","Portugal","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,328.06",""
"2012","Portugal","December","Other sheep","Thousand heads (animals)","416.78",""
"2012","Romania","December","Live sheep","Thousand heads (animals)","8,833.80",""
"2012","Romania","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","7,695.40",""
"2012","Romania","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","6,902.40",""
"2012","Romania","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","793.00",""
"2012","Romania","December","Other sheep","Thousand heads (animals)","1,138.40",""
"2012","Slovenia","December","Live sheep","Thousand heads (animals)",":",""
"2012","Slovenia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Slovenia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Slovenia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Slovenia","December","Other sheep","Thousand heads (animals)",":",""
"2012","Slovakia","December","Live sheep","Thousand heads (animals)","409.57",""
"2012","Slovakia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","324.68",""
"2012","Slovakia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","193.19",""
"2012","Slovakia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","131.49",""
"2012","Slovakia","December","Other sheep","Thousand heads (animals)","84.89",""
"2012","Finland","December","Live sheep","Thousand heads (animals)",":",""
"2012","Finland","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Finland","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Finland","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Finland","December","Other sheep","Thousand heads (animals)",":",""
"2012","Sweden","December","Live sheep","Thousand heads (animals)","610.53",""
"2012","Sweden","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","281.31",""
"2012","Sweden","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Sweden","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Sweden","December","Other sheep","Thousand heads (animals)","329.23",""
"2012","Iceland","December","Live sheep","Thousand heads (animals)","473.50",""
"2012","Iceland","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","444.30",""
"2012","Iceland","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","Iceland","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","444.30",""
"2012","Iceland","December","Other sheep","Thousand heads (animals)","29.20",""
"2012","United Kingdom","December","Live sheep","Thousand heads (animals)","22,991.00",""
"2012","United Kingdom","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","14,278.00",""
"2012","United Kingdom","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","United Kingdom","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","14,278.00",""
"2012","United Kingdom","December","Other sheep","Thousand heads (animals)","8,714.00",""
"2012","Montenegro","December","Live sheep","Thousand heads (animals)","207.00",""
"2012","Montenegro","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","194.00",""
"2012","Montenegro","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","169.00",""
"2012","Montenegro","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","Montenegro","December","Other sheep","Thousand heads (animals)","13.00",""
"2012","North Macedonia","December","Live sheep","Thousand heads (animals)","732.00",""
"2012","North Macedonia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","174.00",""
"2012","North Macedonia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","521.00",""
"2012","North Macedonia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","North Macedonia","December","Other sheep","Thousand heads (animals)","38.00",""
"2012","Albania","December","Live sheep","Thousand heads (animals)",":",""
"2012","Albania","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Albania","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Albania","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Albania","December","Other sheep","Thousand heads (animals)",":",""
"2012","Serbia","December","Live sheep","Thousand heads (animals)","1,635.00","e"
"2012","Serbia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,241.00","e"
"2012","Serbia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","205.00","e"
"2012","Serbia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,036.00","e"
"2012","Serbia","December","Other sheep","Thousand heads (animals)","394.00","e"
"2012","Turkey","December","Live sheep","Thousand heads (animals)","27,425.23",""
"2012","Turkey","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","16,886.97","e"
"2012","Turkey","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","12,841.03","e"
"2012","Turkey","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","4,045.94","e"
"2012","Turkey","December","Other sheep","Thousand heads (animals)","10,538.27","e"
"2012","Bosnia and Herzegovina","December","Live sheep","Thousand heads (animals)","1,004.00","e"
"2012","Bosnia and Herzegovina","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","604.00","e"
"2012","Bosnia and Herzegovina","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","131.00","e"
"2012","Bosnia and Herzegovina","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","473.00","e"
"2012","Bosnia and Herzegovina","December","Other sheep","Thousand heads (animals)","400.00","e"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","December","Live sheep","Thousand heads (animals)",":",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","December","Other sheep","Thousand heads (animals)",":",""
"2013","European Union - 27 countries (from 2020)","December","Live sheep","Thousand heads (animals)","63,088.00","e"
"2013","European Union - 27 countries (from 2020)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 27 countries (from 2020)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 27 countries (from 2020)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 27 countries (from 2020)","December","Other sheep","Thousand heads (animals)",":",""
"2013","European Union - 28 countries (2013-2020)","December","Live sheep","Thousand heads (animals)",":",""
"2013","European Union - 28 countries (2013-2020)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 28 countries (2013-2020)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 28 countries (2013-2020)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 28 countries (2013-2020)","December","Other sheep","Thousand heads (animals)",":",""
"2013","European Union - 27 countries (2007-2013)","December","Live sheep","Thousand heads (animals)",":",""
"2013","European Union - 27 countries (2007-2013)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 27 countries (2007-2013)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 27 countries (2007-2013)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 27 countries (2007-2013)","December","Other sheep","Thousand heads (animals)",":",""
"2013","European Union - 25 countries (2004-2006)","December","Live sheep","Thousand heads (animals)",":",""
"2013","European Union - 25 countries (2004-2006)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 25 countries (2004-2006)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 25 countries (2004-2006)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 25 countries (2004-2006)","December","Other sheep","Thousand heads (animals)",":",""
"2013","European Union - 15 countries (1995-2004)","December","Live sheep","Thousand heads (animals)",":",""
"2013","European Union - 15 countries (1995-2004)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 15 countries (1995-2004)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 15 countries (1995-2004)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","European Union - 15 countries (1995-2004)","December","Other sheep","Thousand heads (animals)",":",""
"2013","Belgium","December","Live sheep","Thousand heads (animals)","0.00",""
"2013","Belgium","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2013","Belgium","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2013","Belgium","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2013","Belgium","December","Other sheep","Thousand heads (animals)","0.00",""
"2013","Bulgaria","December","Live sheep","Thousand heads (animals)","1,369.58",""
"2013","Bulgaria","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,259.47",""
"2013","Bulgaria","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,170.16",""
"2013","Bulgaria","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","89.30",""
"2013","Bulgaria","December","Other sheep","Thousand heads (animals)","110.11",""
"2013","Czechia","December","Live sheep","Thousand heads (animals)",":",""
"2013","Czechia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","Czechia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","Czechia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","Czechia","December","Other sheep","Thousand heads (animals)",":",""
"2013","Denmark","December","Live sheep","Thousand heads (animals)",":",""
"2013","Denmark","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","Denmark","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","Denmark","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","Denmark","December","Other sheep","Thousand heads (animals)",":",""
"2013","Germany (until 1990 former territory of the FRG)","December","Live sheep","Thousand heads (animals)","1,569.96",""
"2013","Germany (until 1990 former territory of the FRG)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,117.48",""
"2013","Germany (until 1990 former territory of the FRG)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","10.64",""
"2013","Germany (until 1990 former territory of the FRG)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,106.84",""
"2013","Germany (until 1990 former territory of the FRG)","December","Other sheep","Thousand heads (animals)","452.48",""
"2013","Estonia","December","Live sheep","Thousand heads (animals)",":",""
"2013","Estonia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","Estonia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","Estonia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","Estonia","December","Other sheep","Thousand heads (animals)",":",""
"2013","Ireland","December","Live sheep","Thousand heads (animals)","3,324.09",""
"2013","Ireland","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","2,472.83",""
"2013","Ireland","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2013","Ireland","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","2,472.83",""
"2013","Ireland","December","Other sheep","Thousand heads (animals)","851.26",""
"2013","Greece","December","Live sheep","Thousand heads (animals)","9,356.00",""
"2013","Greece","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","6,733.00",""
"2013","Greece","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","6,449.00",""
"2013","Greece","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","284.00",""
"2013","Greece","December","Other sheep","Thousand heads (animals)","2,623.00",""
"2013","Spain","December","Live sheep","Thousand heads (animals)","16,118.59",""
"2013","Spain","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","11,947.66",""
"2013","Spain","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","2,583.26",""
"2013","Spain","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","9,364.40",""
"2013","Spain","December","Other sheep","Thousand heads (animals)","4,170.93",""
"2013","France","December","Live sheep","Thousand heads (animals)","7,193.00",""
"2013","France","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","5,535.00",""
"2013","France","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,595.00",""
"2013","France","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","3,940.00",""
"2013","France","December","Other sheep","Thousand heads (animals)","1,658.00",""
"2013","Croatia","December","Live sheep","Thousand heads (animals)","620.00",""
"2013","Croatia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","501.00",""
"2013","Croatia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","160.00",""
"2013","Croatia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","341.00",""
"2013","Croatia","December","Other sheep","Thousand heads (animals)","119.00",""
