"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2013","Austria","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","249.85",""
"2013","Austria","Covered sows","December","Thousand heads (animals)","177.47",""
"2013","Poland","Live swine, domestic species","December","Thousand heads (animals)","10,994.40",""
"2013","Poland","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","2,892.31",""
"2013","Poland","Breeding pigs","December","Thousand heads (animals)","977.41",""
"2013","Poland","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","955.14",""
"2013","Poland","Covered sows","December","Thousand heads (animals)","633.64",""
"2013","Portugal","Live swine, domestic species","December","Thousand heads (animals)","2,014.38",""
"2013","Portugal","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","658.22",""
"2013","Portugal","Breeding pigs","December","Thousand heads (animals)","229.27",""
"2013","Portugal","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","222.62",""
"2013","Portugal","Covered sows","December","Thousand heads (animals)","156.15",""
"2013","Romania","Live swine, domestic species","December","Thousand heads (animals)","5,180.20",""
"2013","Romania","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","811.30",""
"2013","Romania","Breeding pigs","December","Thousand heads (animals)","391.00",""
"2013","Romania","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","383.80",""
"2013","Romania","Covered sows","December","Thousand heads (animals)","235.20",""
"2013","Slovenia","Live swine, domestic species","December","Thousand heads (animals)","288.35",""
"2013","Slovenia","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","67.49",""
"2013","Slovenia","Breeding pigs","December","Thousand heads (animals)","23.78",""
"2013","Slovenia","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","22.92",""
"2013","Slovenia","Covered sows","December","Thousand heads (animals)","13.06",""
"2013","Slovakia","Live swine, domestic species","December","Thousand heads (animals)","637.17",""
"2013","Slovakia","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","194.00",""
"2013","Slovakia","Breeding pigs","December","Thousand heads (animals)","59.20",""
"2013","Slovakia","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","58.17",""
"2013","Slovakia","Covered sows","December","Thousand heads (animals)","34.26",""
"2013","Finland","Live swine, domestic species","December","Thousand heads (animals)","1,258.30",""
"2013","Finland","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","328.40",""
"2013","Finland","Breeding pigs","December","Thousand heads (animals)","123.50",""
"2013","Finland","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","121.50",""
"2013","Finland","Covered sows","December","Thousand heads (animals)","88.00",""
"2013","Sweden","Live swine, domestic species","December","Thousand heads (animals)","1,480.40",""
"2013","Sweden","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","431.50",""
"2013","Sweden","Breeding pigs","December","Thousand heads (animals)","152.30",""
"2013","Sweden","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","149.00",""
"2013","Sweden","Covered sows","December","Thousand heads (animals)","104.80",""
"2013","Iceland","Live swine, domestic species","December","Thousand heads (animals)","36.30",""
"2013","Iceland","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","7.20",""
"2013","Iceland","Breeding pigs","December","Thousand heads (animals)","3.60",""
"2013","Iceland","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","3.60",""
"2013","Iceland","Covered sows","December","Thousand heads (animals)","3.20",""
"2013","Switzerland","Live swine, domestic species","December","Thousand heads (animals)","1,484.73",""
"2013","Switzerland","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","608.27",""
"2013","Switzerland","Breeding pigs","December","Thousand heads (animals)","148.11",""
"2013","Switzerland","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","144.95",""
"2013","Switzerland","Covered sows","December","Thousand heads (animals)","95.79",""
"2013","United Kingdom","Live swine, domestic species","December","Thousand heads (animals)","4,383.00",""
"2013","United Kingdom","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","1,125.00",""
"2013","United Kingdom","Breeding pigs","December","Thousand heads (animals)","497.00",""
"2013","United Kingdom","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","482.00",""
"2013","United Kingdom","Covered sows","December","Thousand heads (animals)","333.00",""
"2013","Montenegro","Live swine, domestic species","December","Thousand heads (animals)","21.00",""
"2013","Montenegro","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","5.00",""
"2013","Montenegro","Breeding pigs","December","Thousand heads (animals)","2.00",""
"2013","Montenegro","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","2.00",""
"2013","Montenegro","Covered sows","December","Thousand heads (animals)","1.00",""
"2013","North Macedonia","Live swine, domestic species","December","Thousand heads (animals)","167.00",""
"2013","North Macedonia","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","52.00",""
"2013","North Macedonia","Breeding pigs","December","Thousand heads (animals)","26.00",""
"2013","North Macedonia","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","25.00",""
"2013","North Macedonia","Covered sows","December","Thousand heads (animals)","23.00",""
"2013","Albania","Live swine, domestic species","December","Thousand heads (animals)",":",""
"2013","Albania","Piglets, live weight of under 20 kg","December","Thousand heads (animals)",":",""
"2013","Albania","Breeding pigs","December","Thousand heads (animals)",":",""
"2013","Albania","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)",":",""
"2013","Albania","Covered sows","December","Thousand heads (animals)",":",""
"2013","Serbia","Live swine, domestic species","December","Thousand heads (animals)","3,144.00",""
"2013","Serbia","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","1,033.00",""
"2013","Serbia","Breeding pigs","December","Thousand heads (animals)","482.00",""
