Time frequency,species,Unit of measure,area,year,value
Annual,Laying hens,Thousand heads (animals),Denmark,1985,4026.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1985,51941.0
Annual,Laying hens,Thousand heads (animals),Italy,1985,47798.0
Annual,Laying hens,Thousand heads (animals),France,1985,69600.0
Annual,Laying hens,Thousand heads (animals),Greece,1985,16784.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1985,0.0
Annual,Laying hens,Thousand heads (animals),Greece,1986,16784.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1986,39756.0
Annual,Laying hens,Thousand heads (animals),Denmark,1986,4224.0
Annual,Laying hens,Thousand heads (animals),Italy,1986,48035.0
Annual,Laying hens,Thousand heads (animals),Spain,1986,52010.0
Annual,Laying hens,Thousand heads (animals),Belgium,1986,10719.0
Annual,Laying hens,Thousand heads (animals),Portugal,1986,7023.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1986,52041.0
Annual,Laying hens,Thousand heads (animals),France,1986,68600.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1986,0.0
Annual,Laying hens,Thousand heads (animals),Ireland,1986,3281.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1987,0.0
Annual,Laying hens,Thousand heads (animals),Italy,1987,51950.0
Annual,Laying hens,Thousand heads (animals),Croatia,1987,8204.0
Annual,Laying hens,Thousand heads (animals),Czechia,1987,15348.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1987,16656.0
Annual,Laying hens,Thousand heads (animals),Greece,1987,17177.0
Annual,Laying hens,Thousand heads (animals),Belgium,1987,10652.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1987,54034.0
Annual,Laying hens,Thousand heads (animals),France,1987,62421.0
Annual,Laying hens,Thousand heads (animals),Spain,1987,52303.0
Annual,Laying hens,Thousand heads (animals),Denmark,1987,3828.0
Annual,Laying hens,Thousand heads (animals),Poland,1987,51724.6
Annual,Laying hens,Thousand heads (animals),Slovakia,1987,8383.0
Annual,Laying hens,Thousand heads (animals),Ireland,1987,3462.0
Annual,Laying hens,Thousand heads (animals),Portugal,1987,7273.0
