animals,month,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 	1959 
A2000,M05_M06,THS_HD,RO	: 	1864.30 	1914.60 	1962.60 	2002.20 	2012.30 	2081.20 	2077.50 	2069.20 	2054.00 	: 	2112.90 	2500.70 	2617.20 	2868.70 	3052.40 	3070.58 	2935.50 	2956.58 	3129.80 	3110.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,SE	: 	1453.30 	1452.98 	1466.30 	1506.64 	1501.35 	1488.90 	1475.96 	1493.12 	1505.83 	1500.29 	1511.85 	1536.66 	1538.28 	1558.38 	1590.41 	1590.41 	1619.68 	1628.50 	1606.72 	1638.44 	1651.50 	1683.90 	1713.00 	1738.40 	1780.80 	1790.40 	1776.90 	1827.00 	1809.00 	1777.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	478.11 	474.72 	475.72 	499.55 	491.59 	462.00 	489.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	570.47 	611.59 	641.50 	655.85 	657.60 	697.28 	790.00 	857.00 	934.00 	928.00 	940.00 	1142.00 	1363.00 	1577.00 	1655.00 	1645.00 	1627.00 	1622.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,TR	17875.67 	18318.38 	18614.99 	18251.33 	17338.38 p	14816.74 p	14323.94 	14731.49 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,UK	: 	: 	9615.00 	9739.00 	9891.00 	10004.00 	10033.00 	9919.00 	9837.00 	9843.00 	9900.00 	9933.00 	10112.00 	10025.00 	10107.00 	10304.00 	10578.83 	10770.22 	10550.74 	10517.43 	10343.29 	10599.92 	11133.24 	11423.36 	11518.81 	11632.52 	12039.66 	11856.53 	11954.22 	11850.82 	11924.33 	12002.73 	12192.44 	12100.94 	12008.31 	12292.65 	12647.83 	13028.02 	13331.27 	13402.90 	13356.24 	13246.58 	13425.61 	13588.60 	13669.94 	13899.33 	14072.00 	14719.00 	15202.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M12,THS_HD,AL	: 	336.78 	362.58 	415.61 	467.32 	475.22 	496.99 p	505.77 e	499.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M12,THS_HD,AT	: 	1870.10 	1855.43 	1879.52 	1912.81 	1943.48 	1954.39 	1957.61 	1961.20 	1958.28 	1955.62 	1976.53 	2013.28 	2026.26 	1997.21 	2000.20 	2002.92 	2010.68 	2050.99 	2052.03 	2066.94 	2118.45 	2155.45 	2152.81 	2171.68 	2197.94 	2271.95 	2325.83 	2328.52 	2333.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M12,THS_HD,BA	: 	: 	427.00 e	430.00 e	438.00 	445.00 e	455.00 e	455.00 e	444.00 e	447.00 e	446.00 e	455.00 e	462.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M12,THS_HD,BE	: 	2310.44 	2335.44 	2373.10 	2398.09 	2385.99 	2501.35 	2503.26 	2477.24 	2441.32 	2438.18 	2471.60 	2509.54 	2535.44 	2538.30 	2573.35 	2606.90 	2603.56 	2656.87 	2684.07 	2758.46 	2907.72 	3001.06 	2970.43 	2984.43 	2978.44 	3070.80 	3158.69 	3161.13 	3084.22 	3099.59 	3105.51 	3146.32 	3049.28 	2966.79 	2950.20 	2967.38 	2944.17 	2988.68 	2957.00 	2896.07 	2858.90 	2896.75 	2893.90 	2869.90 	2823.24 	2823.00 	2805.00 	2889.00 	2896.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M12,THS_HD,BG	: 	611.20 	588.91 	527.19 	542.12 	552.92 p	570.14 	561.04 	562.36 	585.55 	535.32 	567.53 	553.70 	547.87 	574.13 	611.02 	636.52 	630.00 	679.55 	736.20 	699.00 	641.10 	652.20 	690.90 	681.70 	622.30 	593.00 	645.00 	652.00 	768.00 	996.00 	1336.00 	1482.00 	1598.00 	1637.00 	1673.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M12,THS_HD,CH	: 	1519.23 	1518.16 	1528.92 	1540.24 	1560.73 	1560.09 	1567.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M12,THS_HD,CY	: 	84.61 	83.03 	73.97 	70.82 	67.03 	63.14 	58.86 	59.54 	57.08 	56.92 	56.92 	54.72 	54.10 	55.59 	55.92 	56.11 	57.58 	60.31 	58.65 	58.16 	53.43 	53.98 	53.96 	55.74 	62.40 	70.00 	68.10 	64.40 	61.10 	55.80 	55.00 	54.70 	49.30 	46.00 	44.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M12,THS_HD,CZ	: 	1359.42 	1340.04 	1367.05 	1365.24 	1366.36 	1339.60 	1366.33 	1373.07 	1332.08 	1321.06 	1339.48 	1319.41 	1355.58 	1357.80 	1366.71 	1389.60 	1351.60 	1367.60 	1427.00 	1462.00 	1520.00 	1582.00 	1574.00 	1657.00 	1701.00 	1866.00 	1989.00 	2030.00 	2161.00 	2512.00 	2950.00 	3360.00 	3506.00 	3481.00 	3467.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
