animals,unit,geo,year,population
Live horses,Thousand heads (animals),Netherlands,1994,: 
Live horses,Thousand heads (animals),Portugal,1994,: 
Live horses,Thousand heads (animals),United Kingdom,1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1994,0.000 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),France,1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1994,: 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1993,198.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1993,113.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1993,18.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1993,0.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1993,12.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1993,71.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1993,81.300 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1993,26.200 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1993,62.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1993,92.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1993,841.300 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1993,751.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1993,9.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1993,11.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1993,: 
Live horses,Thousand heads (animals),Belgium,1993,: 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1993,0.000 
Live horses,Thousand heads (animals),Denmark,1993,: 
Live horses,Thousand heads (animals),Greece,1993,: 
Live horses,Thousand heads (animals),Spain,1993,: 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1993,: 
Live horses,Thousand heads (animals),France,1993,: 
Live horses,Thousand heads (animals),Ireland,1993,: 
Live horses,Thousand heads (animals),Italy,1993,: 
Live horses,Thousand heads (animals),Luxembourg,1993,: 
Live horses,Thousand heads (animals),Netherlands,1993,92.000 
Live horses,Thousand heads (animals),Portugal,1993,: 
Live horses,Thousand heads (animals),United Kingdom,1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1993,0.000 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),France,1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1993,0.000 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1993,: 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1993,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1992,168.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1992,21.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1992,114.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1992,19.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1992,530.957 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1992,13.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1992,75.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1992,79.700 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1992,28.400 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1992,65.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1992,86.421 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1992,899.500 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1992,721.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1992,9.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1992,12.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1992,: 
Live horses,Thousand heads (animals),Belgium,1992,15.000 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1992,530.957 
Live horses,Thousand heads (animals),Denmark,1992,: 
Live horses,Thousand heads (animals),Greece,1992,: 
Live horses,Thousand heads (animals),Spain,1992,: 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1992,: 
Live horses,Thousand heads (animals),France,1992,: 
Live horses,Thousand heads (animals),Ireland,1992,: 
Live horses,Thousand heads (animals),Italy,1992,: 
Live horses,Thousand heads (animals),Luxembourg,1992,: 
Live horses,Thousand heads (animals),Netherlands,1992,86.421 
Live horses,Thousand heads (animals),Portugal,1992,: 
Live horses,Thousand heads (animals),United Kingdom,1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1992,6.000 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1992,0.000 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),France,1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1992,0.000 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1992,: 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1992,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1991,181.000 
