Total Camels for draft purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for draft purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for draft purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for milk;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for transportation;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for transportation;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for transportation;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for other purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for other purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for other purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels of all ages;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels of all ages;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels of all ages;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels less than 4 years;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels less than 4 years;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels less than 4 years;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels 4 years and older;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels 4 years and older;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels 4 years and older;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for slaughter;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for slaughter;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for slaughter;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for draft purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for draft purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for draft purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for milk;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for transportation;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for transportation;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for transportation;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for other purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for other purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for other purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels of all ages;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels of all ages;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels of all ages;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels less than 4 years;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels less than 4 years;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels less than 4 years;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels 4 years and older;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels 4 years and older;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels 4 years and older;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for slaughter;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for slaughter;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for slaughter;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for draft purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for draft purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for draft purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for milk;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for transportation;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for transportation;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for transportation;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for other purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for other purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for other purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels of all ages;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels of all ages;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels of all ages;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels less than 4 years;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels less than 4 years;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels less than 4 years;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels 4 years and older;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels 4 years and older;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels 4 years and older;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for slaughter;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for slaughter;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for slaughter;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for draft purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for draft purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for draft purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for milk;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for transportation;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for transportation;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for transportation;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for other purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for other purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for other purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels of all ages;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels of all ages;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels of all ages;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels less than 4 years;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels less than 4 years;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels less than 4 years;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels 4 years and older;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels 4 years and older;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels 4 years and older;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for slaughter;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for slaughter;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for slaughter;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for draft purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for draft purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for draft purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for milk;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for transportation;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for transportation;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for transportation;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for other purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for other purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for other purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels of all ages;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels of all ages;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels of all ages;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels less than 4 years;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels less than 4 years;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels less than 4 years;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels 4 years and older;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels 4 years and older;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels 4 years and older;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for slaughter;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for slaughter;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for slaughter;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for draft purposes;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for draft purposes;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for draft purposes;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for milk;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for transportation;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for transportation;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for transportation;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for other purposes;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
