species;year;table_name
Female Horses less than 3 years;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2016;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses of all ages;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses of all ages;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses of all ages;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses less than 3 years;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2017;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses of all ages;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses of all ages;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses of all ages;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses less than 3 years;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2018;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses of all ages;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses of all ages;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses of all ages;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses less than 3 years;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2019;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses of all ages;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses of all ages;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses of all ages;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses less than 3 years;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2020;Number of Horses, Mules, Donkeys and Camels by age and Purpose
