species;year;table_name
Indigenous Non-Laying hens;2013;Poultry
Hybrid Non-Laying hens;2013;Poultry
Exotic Non-Laying hens;2013;Poultry
Total Cocks;2013;Poultry
Indigenous Cocks;2013;Poultry
Hybrid Cocks;2013;Poultry
Exotic Cocks;2013;Poultry
Total Cockerels;2013;Poultry
Indigenous Cockerels;2013;Poultry
Hybrid Cockerels;2013;Poultry
Exotic Cockerels;2013;Poultry
Total Pullets;2013;Poultry
Indigenous Pullets;2013;Poultry
Hybrid Pullets;2013;Poultry
Exotic Pullets;2013;Poultry
Total Chicks;2013;Poultry
Indigenous Chicks;2013;Poultry
Hybrid Chicks;2013;Poultry
Exotic Chicks;2013;Poultry
Total Poultry;2014;Poultry
Indigenous Poultry;2014;Poultry
Hybrid Poultry;2014;Poultry
Exotic Poultry;2014;Poultry
Total Laying hens;2014;Poultry
Indigenous Laying hens;2014;Poultry
Hybrid Laying hens;2014;Poultry
Exotic Laying hens;2014;Poultry
Total Non-Laying hens;2014;Poultry
Indigenous Non-Laying hens;2014;Poultry
Hybrid Non-Laying hens;2014;Poultry
Exotic Non-Laying hens;2014;Poultry
Total Cocks;2014;Poultry
Indigenous Cocks;2014;Poultry
Hybrid Cocks;2014;Poultry
Exotic Cocks;2014;Poultry
Total Cockerels;2014;Poultry
Indigenous Cockerels;2014;Poultry
Hybrid Cockerels;2014;Poultry
Exotic Cockerels;2014;Poultry
Total Pullets;2014;Poultry
Indigenous Pullets;2014;Poultry
Hybrid Pullets;2014;Poultry
Exotic Pullets;2014;Poultry
Total Chicks;2014;Poultry
Indigenous Chicks;2014;Poultry
Hybrid Chicks;2014;Poultry
Exotic Chicks;2014;Poultry
Total Poultry;2015;Poultry
Indigenous Poultry;2015;Poultry
Hybrid Poultry;2015;Poultry
Exotic Poultry;2015;Poultry
Total Laying hens;2015;Poultry
Indigenous Laying hens;2015;Poultry
Hybrid Laying hens;2015;Poultry
Exotic Laying hens;2015;Poultry
Total Non-Laying hens;2015;Poultry
Indigenous Non-Laying hens;2015;Poultry
Hybrid Non-Laying hens;2015;Poultry
Exotic Non-Laying hens;2015;Poultry
Total Cocks;2015;Poultry
Indigenous Cocks;2015;Poultry
Hybrid Cocks;2015;Poultry
Exotic Cocks;2015;Poultry
Total Cockerels;2015;Poultry
Indigenous Cockerels;2015;Poultry
Hybrid Cockerels;2015;Poultry
Exotic Cockerels;2015;Poultry
Total Pullets;2015;Poultry
Indigenous Pullets;2015;Poultry
Hybrid Pullets;2015;Poultry
Exotic Pullets;2015;Poultry
Total Chicks;2015;Poultry
Indigenous Chicks;2015;Poultry
Hybrid Chicks;2015;Poultry
Exotic Chicks;2015;Poultry
Total Poultry;2016;Poultry
Indigenous Poultry;2016;Poultry
Hybrid Poultry;2016;Poultry
Exotic Poultry;2016;Poultry
Total Laying hens;2016;Poultry
Indigenous Laying hens;2016;Poultry
Hybrid Laying hens;2016;Poultry
Exotic Laying hens;2016;Poultry
Total Non-Laying hens;2016;Poultry
Indigenous Non-Laying hens;2016;Poultry
Hybrid Non-Laying hens;2016;Poultry
Exotic Non-Laying hens;2016;Poultry
Total Cocks;2016;Poultry
Indigenous Cocks;2016;Poultry
Hybrid Cocks;2016;Poultry
Exotic Cocks;2016;Poultry
Total Cockerels;2016;Poultry
Indigenous Cockerels;2016;Poultry
Hybrid Cockerels;2016;Poultry
Exotic Cockerels;2016;Poultry
Total Pullets;2016;Poultry
Indigenous Pullets;2016;Poultry
Hybrid Pullets;2016;Poultry
Exotic Pullets;2016;Poultry
Total Chicks;2016;Poultry
Indigenous Chicks;2016;Poultry
Hybrid Chicks;2016;Poultry
Exotic Chicks;2016;Poultry
Total Poultry;2017;Poultry
Indigenous Poultry;2017;Poultry
Hybrid Poultry;2017;Poultry
Exotic Poultry;2017;Poultry
Total Laying hens;2017;Poultry
Indigenous Laying hens;2017;Poultry
Hybrid Laying hens;2017;Poultry
Exotic Laying hens;2017;Poultry
Total Non-Laying hens;2017;Poultry
Indigenous Non-Laying hens;2017;Poultry
Hybrid Non-Laying hens;2017;Poultry
Exotic Non-Laying hens;2017;Poultry
Total Cocks;2017;Poultry
Indigenous Cocks;2017;Poultry
Hybrid Cocks;2017;Poultry
Exotic Cocks;2017;Poultry
Total Cockerels;2017;Poultry
Indigenous Cockerels;2017;Poultry
Hybrid Cockerels;2017;Poultry
Exotic Cockerels;2017;Poultry
Total Pullets;2017;Poultry
Indigenous Pullets;2017;Poultry
Hybrid Pullets;2017;Poultry
Exotic Pullets;2017;Poultry
Total Chicks;2017;Poultry
Indigenous Chicks;2017;Poultry
Hybrid Chicks;2017;Poultry
Exotic Chicks;2017;Poultry
Total Poultry;2018;Poultry
Indigenous Poultry;2018;Poultry
Hybrid Poultry;2018;Poultry
Exotic Poultry;2018;Poultry
Total Laying hens;2018;Poultry
Indigenous Laying hens;2018;Poultry
Hybrid Laying hens;2018;Poultry
Exotic Laying hens;2018;Poultry
Total Non-Laying hens;2018;Poultry
Indigenous Non-Laying hens;2018;Poultry
Hybrid Non-Laying hens;2018;Poultry
Exotic Non-Laying hens;2018;Poultry
Total Cocks;2018;Poultry
Indigenous Cocks;2018;Poultry
Hybrid Cocks;2018;Poultry
Exotic Cocks;2018;Poultry
Total Cockerels;2018;Poultry
Indigenous Cockerels;2018;Poultry
Hybrid Cockerels;2018;Poultry
Exotic Cockerels;2018;Poultry
Total Pullets;2018;Poultry
Indigenous Pullets;2018;Poultry
Hybrid Pullets;2018;Poultry
Exotic Pullets;2018;Poultry
Total Chicks;2018;Poultry
Indigenous Chicks;2018;Poultry
Hybrid Chicks;2018;Poultry
Exotic Chicks;2018;Poultry
Total Poultry;2019;Poultry
Indigenous Poultry;2019;Poultry
Hybrid Poultry;2019;Poultry
Exotic Poultry;2019;Poultry
Total Laying hens;2019;Poultry
Indigenous Laying hens;2019;Poultry
Hybrid Laying hens;2019;Poultry
Exotic Laying hens;2019;Poultry
Total Non-Laying hens;2019;Poultry
Indigenous Non-Laying hens;2019;Poultry
Hybrid Non-Laying hens;2019;Poultry
Exotic Non-Laying hens;2019;Poultry
Total Cocks;2019;Poultry
Indigenous Cocks;2019;Poultry
Hybrid Cocks;2019;Poultry
Exotic Cocks;2019;Poultry
Total Cockerels;2019;Poultry
Indigenous Cockerels;2019;Poultry
Hybrid Cockerels;2019;Poultry
Exotic Cockerels;2019;Poultry
Total Pullets;2019;Poultry
Indigenous Pullets;2019;Poultry
Hybrid Pullets;2019;Poultry
Exotic Pullets;2019;Poultry
Total Chicks;2019;Poultry
Indigenous Chicks;2019;Poultry
Hybrid Chicks;2019;Poultry
Exotic Chicks;2019;Poultry
Total Poultry;2020;Poultry
Indigenous Poultry;2020;Poultry
Hybrid Poultry;2020;Poultry
Exotic Poultry;2020;Poultry
Total Laying hens;2020;Poultry
Indigenous Laying hens;2020;Poultry
Hybrid Laying hens;2020;Poultry
Exotic Laying hens;2020;Poultry
Total Non-Laying hens;2020;Poultry
Indigenous Non-Laying hens;2020;Poultry
Hybrid Non-Laying hens;2020;Poultry
Exotic Non-Laying hens;2020;Poultry
Total Cocks;2020;Poultry
Indigenous Cocks;2020;Poultry
Hybrid Cocks;2020;Poultry
Exotic Cocks;2020;Poultry
Total Cockerels;2020;Poultry
Indigenous Cockerels;2020;Poultry
Hybrid Cockerels;2020;Poultry
Exotic Cockerels;2020;Poultry
Total Pullets;2020;Poultry
Indigenous Pullets;2020;Poultry
Hybrid Pullets;2020;Poultry
Exotic Pullets;2020;Poultry
Total Chicks;2020;Poultry
Indigenous Chicks;2020;Poultry
Hybrid Chicks;2020;Poultry
Exotic Chicks;2020;Poultry
