species;year;table_name
Female Sheep 1 year and less than 2 years;2008;Number of Sheep by Age and Purpose
Total Sheep 1 year and less than 2 years;2008;Number of Sheep by Age and Purpose
Male Sheep 2 years and older;2008;Number of Sheep by Age and Purpose
Female Sheep 2 years and older;2008;Number of Sheep by Age and Purpose
Total Sheep 2 years and older;2008;Number of Sheep by Age and Purpose
Male Sheep for mutton;2008;Number of Sheep by Age and Purpose
Female Sheep for mutton;2008;Number of Sheep by Age and Purpose
Total Sheep for mutton;2008;Number of Sheep by Age and Purpose
Male Sheep for wool;2008;Number of Sheep by Age and Purpose
Female Sheep for wool;2008;Number of Sheep by Age and Purpose
Total Sheep for wool;2008;Number of Sheep by Age and Purpose
Male Sheep for breeding;2008;Number of Sheep by Age and Purpose
Female Sheep for breeding;2008;Number of Sheep by Age and Purpose
Total Sheep for breeding;2008;Number of Sheep by Age and Purpose
Male Sheep for other purposes;2008;Number of Sheep by Age and Purpose
Female Sheep for other purposes;2008;Number of Sheep by Age and Purpose
Total Sheep for other purposes;2008;Number of Sheep by Age and Purpose
Male Grand Total;2008;Number of Sheep by Age and Purpose
Female Grand Total;2008;Number of Sheep by Age and Purpose
Total Grand Total;2008;Number of Sheep by Age and Purpose
Male Local breed;2008;Number of Sheep by Age and Purpose
Female Local breed;2008;Number of Sheep by Age and Purpose
Total Local breed;2008;Number of Sheep by Age and Purpose
Male Exotic;2008;Number of Sheep by Age and Purpose
Female Exotic;2008;Number of Sheep by Age and Purpose
Total Exotic;2008;Number of Sheep by Age and Purpose
Male Hybrid;2008;Number of Sheep by Age and Purpose
Female Hybrid;2008;Number of Sheep by Age and Purpose
Total Hybrid;2008;Number of Sheep by Age and Purpose
Male Sheep less than 6 months;2009;Number of Sheep by Age and Purpose
Female Sheep less than 6 months;2009;Number of Sheep by Age and Purpose
Total Sheep less than 6 months;2009;Number of Sheep by Age and Purpose
Male Sheep 6 months and less than 1 year;2009;Number of Sheep by Age and Purpose
Female Sheep 6 months and less than 1 year;2009;Number of Sheep by Age and Purpose
Total Sheep 6 months and less than 1 year;2009;Number of Sheep by Age and Purpose
Male Sheep 1 year and less than 2 years;2009;Number of Sheep by Age and Purpose
Female Sheep 1 year and less than 2 years;2009;Number of Sheep by Age and Purpose
Total Sheep 1 year and less than 2 years;2009;Number of Sheep by Age and Purpose
Male Sheep 2 years and older;2009;Number of Sheep by Age and Purpose
Female Sheep 2 years and older;2009;Number of Sheep by Age and Purpose
Total Sheep 2 years and older;2009;Number of Sheep by Age and Purpose
Male Sheep for mutton;2009;Number of Sheep by Age and Purpose
Female Sheep for mutton;2009;Number of Sheep by Age and Purpose
Total Sheep for mutton;2009;Number of Sheep by Age and Purpose
Male Sheep for wool;2009;Number of Sheep by Age and Purpose
Female Sheep for wool;2009;Number of Sheep by Age and Purpose
Total Sheep for wool;2009;Number of Sheep by Age and Purpose
Male Sheep for breeding;2009;Number of Sheep by Age and Purpose
Female Sheep for breeding;2009;Number of Sheep by Age and Purpose
Total Sheep for breeding;2009;Number of Sheep by Age and Purpose
Male Sheep for other purposes;2009;Number of Sheep by Age and Purpose
Female Sheep for other purposes;2009;Number of Sheep by Age and Purpose
Total Sheep for other purposes;2009;Number of Sheep by Age and Purpose
Male Grand Total;2009;Number of Sheep by Age and Purpose
Female Grand Total;2009;Number of Sheep by Age and Purpose
Total Grand Total;2009;Number of Sheep by Age and Purpose
Male Local breed;2009;Number of Sheep by Age and Purpose
Female Local breed;2009;Number of Sheep by Age and Purpose
Total Local breed;2009;Number of Sheep by Age and Purpose
Male Exotic;2009;Number of Sheep by Age and Purpose
Female Exotic;2009;Number of Sheep by Age and Purpose
Total Exotic;2009;Number of Sheep by Age and Purpose
Male Hybrid;2009;Number of Sheep by Age and Purpose
Female Hybrid;2009;Number of Sheep by Age and Purpose
Total Hybrid;2009;Number of Sheep by Age and Purpose
Male Sheep less than 6 months;2010;Number of Sheep by Age and Purpose
Female Sheep less than 6 months;2010;Number of Sheep by Age and Purpose
Total Sheep less than 6 months;2010;Number of Sheep by Age and Purpose
Male Sheep 6 months and less than 1 year;2010;Number of Sheep by Age and Purpose
Female Sheep 6 months and less than 1 year;2010;Number of Sheep by Age and Purpose
Total Sheep 6 months and less than 1 year;2010;Number of Sheep by Age and Purpose
Male Sheep 1 year and less than 2 years;2010;Number of Sheep by Age and Purpose
Female Sheep 1 year and less than 2 years;2010;Number of Sheep by Age and Purpose
Total Sheep 1 year and less than 2 years;2010;Number of Sheep by Age and Purpose
Male Sheep 2 years and older;2010;Number of Sheep by Age and Purpose
Female Sheep 2 years and older;2010;Number of Sheep by Age and Purpose
Total Sheep 2 years and older;2010;Number of Sheep by Age and Purpose
Male Sheep for mutton;2010;Number of Sheep by Age and Purpose
Female Sheep for mutton;2010;Number of Sheep by Age and Purpose
Total Sheep for mutton;2010;Number of Sheep by Age and Purpose
Male Sheep for wool;2010;Number of Sheep by Age and Purpose
Female Sheep for wool;2010;Number of Sheep by Age and Purpose
Total Sheep for wool;2010;Number of Sheep by Age and Purpose
Male Sheep for breeding;2010;Number of Sheep by Age and Purpose
Female Sheep for breeding;2010;Number of Sheep by Age and Purpose
Total Sheep for breeding;2010;Number of Sheep by Age and Purpose
Male Sheep for other purposes;2010;Number of Sheep by Age and Purpose
Female Sheep for other purposes;2010;Number of Sheep by Age and Purpose
Total Sheep for other purposes;2010;Number of Sheep by Age and Purpose
Male Grand Total;2010;Number of Sheep by Age and Purpose
Female Grand Total;2010;Number of Sheep by Age and Purpose
Total Grand Total;2010;Number of Sheep by Age and Purpose
Male Local breed;2010;Number of Sheep by Age and Purpose
Female Local breed;2010;Number of Sheep by Age and Purpose
Total Local breed;2010;Number of Sheep by Age and Purpose
Male Exotic;2010;Number of Sheep by Age and Purpose
Female Exotic;2010;Number of Sheep by Age and Purpose
Total Exotic;2010;Number of Sheep by Age and Purpose
Male Hybrid;2010;Number of Sheep by Age and Purpose
Female Hybrid;2010;Number of Sheep by Age and Purpose
Total Hybrid;2010;Number of Sheep by Age and Purpose
