species;year;table_name
Female Goats less than 6 months;2010;Number of Goats by Age and Purpose
Total Goats 6 months and less than 1 year;2010;Number of Goats by Age and Purpose
Male Goats 6 months and less than 1 year;2010;Number of Goats by Age and Purpose
Female Goats 6 months and less than 1 year;2010;Number of Goats by Age and Purpose
Total Goats 1 year and less than 2 years;2010;Number of Goats by Age and Purpose
Male Goats 1 year and less than 2 years;2010;Number of Goats by Age and Purpose
Female Goats 1 year and less than 2 years;2010;Number of Goats by Age and Purpose
Total Goats 2 years and older;2010;Number of Goats by Age and Purpose
Male Goats 2 years and older;2010;Number of Goats by Age and Purpose
Female Goats 2 years and older;2010;Number of Goats by Age and Purpose
Total Goats for meat;2010;Number of Goats by Age and Purpose
Male Goats for meat;2010;Number of Goats by Age and Purpose
Female Goats for meat;2010;Number of Goats by Age and Purpose
Total Dairy Goats;2010;Number of Goats by Age and Purpose
Total Goats for breeding;2010;Number of Goats by Age and Purpose
Male Goats for breeding;2010;Number of Goats by Age and Purpose
Female Goats for breeding;2010;Number of Goats by Age and Purpose
Total Goats for other purposes;2010;Number of Goats by Age and Purpose
Male Goats for other purposes;2010;Number of Goats by Age and Purpose
Female Goats for other purposes;2010;Number of Goats by Age and Purpose
Total Grand Total;2010;Number of Goats by Age and Purpose
Male Grand Total;2010;Number of Goats by Age and Purpose
Female Grand Total;2010;Number of Goats by Age and Purpose
Total Local breed;2010;Number of Goats by Age and Purpose
Male Local breed;2010;Number of Goats by Age and Purpose
Female Local breed;2010;Number of Goats by Age and Purpose
Total Exotic;2010;Number of Goats by Age and Purpose
Male Exotic;2010;Number of Goats by Age and Purpose
Female Exotic;2010;Number of Goats by Age and Purpose
Total Hybrid;2010;Number of Goats by Age and Purpose
Male Hybrid;2010;Number of Goats by Age and Purpose
Female Hybrid;2010;Number of Goats by Age and Purpose
Total Goats less than 6 months;2011;Number of Goats by Age and Purpose
Male Goats less than 6 months;2011;Number of Goats by Age and Purpose
Female Goats less than 6 months;2011;Number of Goats by Age and Purpose
Total Goats 6 months and less than 1 year;2011;Number of Goats by Age and Purpose
Male Goats 6 months and less than 1 year;2011;Number of Goats by Age and Purpose
Female Goats 6 months and less than 1 year;2011;Number of Goats by Age and Purpose
Total Goats 1 year and less than 2 years;2011;Number of Goats by Age and Purpose
Male Goats 1 year and less than 2 years;2011;Number of Goats by Age and Purpose
Female Goats 1 year and less than 2 years;2011;Number of Goats by Age and Purpose
Total Goats 2 years and older;2011;Number of Goats by Age and Purpose
Male Goats 2 years and older;2011;Number of Goats by Age and Purpose
Female Goats 2 years and older;2011;Number of Goats by Age and Purpose
Total Goats for meat;2011;Number of Goats by Age and Purpose
Male Goats for meat;2011;Number of Goats by Age and Purpose
Female Goats for meat;2011;Number of Goats by Age and Purpose
Total Dairy Goats;2011;Number of Goats by Age and Purpose
Total Goats for breeding;2011;Number of Goats by Age and Purpose
Male Goats for breeding;2011;Number of Goats by Age and Purpose
Female Goats for breeding;2011;Number of Goats by Age and Purpose
Total Goats for other purposes;2011;Number of Goats by Age and Purpose
Male Goats for other purposes;2011;Number of Goats by Age and Purpose
Female Goats for other purposes;2011;Number of Goats by Age and Purpose
Total Grand Total;2011;Number of Goats by Age and Purpose
Male Grand Total;2011;Number of Goats by Age and Purpose
Female Grand Total;2011;Number of Goats by Age and Purpose
Total Local breed;2011;Number of Goats by Age and Purpose
Male Local breed;2011;Number of Goats by Age and Purpose
Female Local breed;2011;Number of Goats by Age and Purpose
Total Exotic;2011;Number of Goats by Age and Purpose
Male Exotic;2011;Number of Goats by Age and Purpose
Female Exotic;2011;Number of Goats by Age and Purpose
Total Hybrid;2011;Number of Goats by Age and Purpose
Male Hybrid;2011;Number of Goats by Age and Purpose
Female Hybrid;2011;Number of Goats by Age and Purpose
Total Goats less than 6 months;2012;Number of Goats by Age and Purpose
Male Goats less than 6 months;2012;Number of Goats by Age and Purpose
Female Goats less than 6 months;2012;Number of Goats by Age and Purpose
Total Goats 6 months and less than 1 year;2012;Number of Goats by Age and Purpose
Male Goats 6 months and less than 1 year;2012;Number of Goats by Age and Purpose
Female Goats 6 months and less than 1 year;2012;Number of Goats by Age and Purpose
Total Goats 1 year and less than 2 years;2012;Number of Goats by Age and Purpose
Male Goats 1 year and less than 2 years;2012;Number of Goats by Age and Purpose
Female Goats 1 year and less than 2 years;2012;Number of Goats by Age and Purpose
Total Goats 2 years and older;2012;Number of Goats by Age and Purpose
Male Goats 2 years and older;2012;Number of Goats by Age and Purpose
Female Goats 2 years and older;2012;Number of Goats by Age and Purpose
Total Goats for meat;2012;Number of Goats by Age and Purpose
Male Goats for meat;2012;Number of Goats by Age and Purpose
Female Goats for meat;2012;Number of Goats by Age and Purpose
Total Dairy Goats;2012;Number of Goats by Age and Purpose
Total Goats for breeding;2012;Number of Goats by Age and Purpose
Male Goats for breeding;2012;Number of Goats by Age and Purpose
Female Goats for breeding;2012;Number of Goats by Age and Purpose
Total Goats for other purposes;2012;Number of Goats by Age and Purpose
Male Goats for other purposes;2012;Number of Goats by Age and Purpose
Female Goats for other purposes;2012;Number of Goats by Age and Purpose
Total Grand Total;2012;Number of Goats by Age and Purpose
Male Grand Total;2012;Number of Goats by Age and Purpose
Female Grand Total;2012;Number of Goats by Age and Purpose
Total Local breed;2012;Number of Goats by Age and Purpose
Male Local breed;2012;Number of Goats by Age and Purpose
Female Local breed;2012;Number of Goats by Age and Purpose
Total Exotic;2012;Number of Goats by Age and Purpose
Male Exotic;2012;Number of Goats by Age and Purpose
Female Exotic;2012;Number of Goats by Age and Purpose
Total Hybrid;2012;Number of Goats by Age and Purpose
Male Hybrid;2012;Number of Goats by Age and Purpose
Female Hybrid;2012;Number of Goats by Age and Purpose
Total Goats less than 6 months;2013;Number of Goats by Age and Purpose
Male Goats less than 6 months;2013;Number of Goats by Age and Purpose
Female Goats less than 6 months;2013;Number of Goats by Age and Purpose
Total Goats 6 months and less than 1 year;2013;Number of Goats by Age and Purpose
Male Goats 6 months and less than 1 year;2013;Number of Goats by Age and Purpose
Female Goats 6 months and less than 1 year;2013;Number of Goats by Age and Purpose
Total Goats 1 year and less than 2 years;2013;Number of Goats by Age and Purpose
Male Goats 1 year and less than 2 years;2013;Number of Goats by Age and Purpose
Female Goats 1 year and less than 2 years;2013;Number of Goats by Age and Purpose
Total Goats 2 years and older;2013;Number of Goats by Age and Purpose
Male Goats 2 years and older;2013;Number of Goats by Age and Purpose
Female Goats 2 years and older;2013;Number of Goats by Age and Purpose
Total Goats for meat;2013;Number of Goats by Age and Purpose
Male Goats for meat;2013;Number of Goats by Age and Purpose
Female Goats for meat;2013;Number of Goats by Age and Purpose
Total Dairy Goats;2013;Number of Goats by Age and Purpose
Total Goats for breeding;2013;Number of Goats by Age and Purpose
Male Goats for breeding;2013;Number of Goats by Age and Purpose
Female Goats for breeding;2013;Number of Goats by Age and Purpose
Total Goats for other purposes;2013;Number of Goats by Age and Purpose
Male Goats for other purposes;2013;Number of Goats by Age and Purpose
Female Goats for other purposes;2013;Number of Goats by Age and Purpose
Total Grand Total;2013;Number of Goats by Age and Purpose
Male Grand Total;2013;Number of Goats by Age and Purpose
Female Grand Total;2013;Number of Goats by Age and Purpose
Total Local breed;2013;Number of Goats by Age and Purpose
Male Local breed;2013;Number of Goats by Age and Purpose
Female Local breed;2013;Number of Goats by Age and Purpose
Total Exotic;2013;Number of Goats by Age and Purpose
Male Exotic;2013;Number of Goats by Age and Purpose
Female Exotic;2013;Number of Goats by Age and Purpose
Total Hybrid;2013;Number of Goats by Age and Purpose
Male Hybrid;2013;Number of Goats by Age and Purpose
Female Hybrid;2013;Number of Goats by Age and Purpose
Total Goats less than 6 months;2014;Number of Goats by Age and Purpose
Male Goats less than 6 months;2014;Number of Goats by Age and Purpose
Female Goats less than 6 months;2014;Number of Goats by Age and Purpose
Total Goats 6 months and less than 1 year;2014;Number of Goats by Age and Purpose
Male Goats 6 months and less than 1 year;2014;Number of Goats by Age and Purpose
Female Goats 6 months and less than 1 year;2014;Number of Goats by Age and Purpose
Total Goats 1 year and less than 2 years;2014;Number of Goats by Age and Purpose
Male Goats 1 year and less than 2 years;2014;Number of Goats by Age and Purpose
Female Goats 1 year and less than 2 years;2014;Number of Goats by Age and Purpose
Total Goats 2 years and older;2014;Number of Goats by Age and Purpose
Male Goats 2 years and older;2014;Number of Goats by Age and Purpose
Female Goats 2 years and older;2014;Number of Goats by Age and Purpose
Total Goats for meat;2014;Number of Goats by Age and Purpose
Male Goats for meat;2014;Number of Goats by Age and Purpose
Female Goats for meat;2014;Number of Goats by Age and Purpose
Total Dairy Goats;2014;Number of Goats by Age and Purpose
Total Goats for breeding;2014;Number of Goats by Age and Purpose
Male Goats for breeding;2014;Number of Goats by Age and Purpose
Female Goats for breeding;2014;Number of Goats by Age and Purpose
Total Goats for other purposes;2014;Number of Goats by Age and Purpose
Male Goats for other purposes;2014;Number of Goats by Age and Purpose
Female Goats for other purposes;2014;Number of Goats by Age and Purpose
Total Grand Total;2014;Number of Goats by Age and Purpose
Male Grand Total;2014;Number of Goats by Age and Purpose
Female Grand Total;2014;Number of Goats by Age and Purpose
Total Local breed;2014;Number of Goats by Age and Purpose
Male Local breed;2014;Number of Goats by Age and Purpose
Female Local breed;2014;Number of Goats by Age and Purpose
Total Exotic;2014;Number of Goats by Age and Purpose
Male Exotic;2014;Number of Goats by Age and Purpose
Female Exotic;2014;Number of Goats by Age and Purpose
Total Hybrid;2014;Number of Goats by Age and Purpose
Male Hybrid;2014;Number of Goats by Age and Purpose
Female Hybrid;2014;Number of Goats by Age and Purpose
Total Goats less than 6 months;2015;Number of Goats by Age and Purpose
Male Goats less than 6 months;2015;Number of Goats by Age and Purpose
Female Goats less than 6 months;2015;Number of Goats by Age and Purpose
Total Goats 6 months and less than 1 year;2015;Number of Goats by Age and Purpose
Male Goats 6 months and less than 1 year;2015;Number of Goats by Age and Purpose
Female Goats 6 months and less than 1 year;2015;Number of Goats by Age and Purpose
Total Goats 1 year and less than 2 years;2015;Number of Goats by Age and Purpose
Male Goats 1 year and less than 2 years;2015;Number of Goats by Age and Purpose
Female Goats 1 year and less than 2 years;2015;Number of Goats by Age and Purpose
Total Goats 2 years and older;2015;Number of Goats by Age and Purpose
Male Goats 2 years and older;2015;Number of Goats by Age and Purpose
Female Goats 2 years and older;2015;Number of Goats by Age and Purpose
Total Goats for meat;2015;Number of Goats by Age and Purpose
Male Goats for meat;2015;Number of Goats by Age and Purpose
Female Goats for meat;2015;Number of Goats by Age and Purpose
Total Dairy Goats;2015;Number of Goats by Age and Purpose
Total Goats for breeding;2015;Number of Goats by Age and Purpose
Male Goats for breeding;2015;Number of Goats by Age and Purpose
Female Goats for breeding;2015;Number of Goats by Age and Purpose
Total Goats for other purposes;2015;Number of Goats by Age and Purpose
Male Goats for other purposes;2015;Number of Goats by Age and Purpose
Female Goats for other purposes;2015;Number of Goats by Age and Purpose
Total Grand Total;2015;Number of Goats by Age and Purpose
Male Grand Total;2015;Number of Goats by Age and Purpose
Female Grand Total;2015;Number of Goats by Age and Purpose
Total Local breed;2015;Number of Goats by Age and Purpose
Male Local breed;2015;Number of Goats by Age and Purpose
Female Local breed;2015;Number of Goats by Age and Purpose
Total Exotic;2015;Number of Goats by Age and Purpose
